;; effweek	dow	epistleReading	epistlePericope	gospelReading	gospelPericope
8	6	Rom_13:1-10	111	Mt_12:30-37	47
8	0	I Cor_1:10-18	124	Mt_14:14-22	58
9	1	I Cor_11:31-12:6	150	Mt_18:1-11	74
9	2	I Cor_12:12-26	152	Mt_18:18-22, 19:1-2, 13-15	76
9	3	I Cor_13:4-14:5	154	Mt_20:1-16	80
9	4	I Cor_14:6-19	155	Mt_20:17-28	81
9	5	I Cor_14:26-40	157	Mt_21:12-14, 17-20	83 (mid.)
9	6	Rom_14:6-9	113	Mt_15:32-39	64
9	0	I Cor_3:9-17	128	Mt_14:22-34	59
10	1	I Cor_15:12-19	159	Mt_21:18-22	84
10	2	I Cor_15:29-38	161	Mt_21:23-27	85
10	3	I Cor_16:4-12	165	Mt_21:28-32	86
10	4	II Cor_1:1-7	167	Mt_21:43-46	88
10	5	II Cor_1:12-20	169	Mt_22:23-33	91
10	6	Rom_15:30-33	119	Mt_17:24-18:4	73
10	0	I Cor_4:9-16	131	Mt_17:14-23a	72
11	1	II Cor_2:3b-15a	171	Mt_23:13-22	94
11	2	II Cor_2:14-3:3	172	Mt_23:23-28	95
11	3	II Cor_3:4-11	173	Mt_23:29-39	96
11	4	II Cor_4:1-6	175	Mt_24:13-28	99
11	5	II Cor_4:13-18	177	Mt_24:27-33, 42-51	100
11	6	I Cor_1:3-9	123	Mt_19:3-12	78
11	0	I Cor_9:2b-12	141	Mt_18:23-35	77
12	1	II Cor_5:10-15	179	Mk_1:9-15	2
12	2	II Cor_5:15-21	180	Mk_1:16-22	3
12	3	II Cor_6:11-16a	182	Mk_1:23-28	4
12	4	II Cor_7:1b-10a	183	Mk_1:29-35	5
12	5	II Cor_7:10-16	184	Mk_2:18-22	9
12	6	I Cor_1:26-29	125 (mid.)	Mt_20:29-34	82
12	0	I Cor_15:1-11	158	Mt_19:16-26	79
13	1	II Cor_8:7-15	186	Mk_3:6-12	11
13	2	II Cor_8:16-9:5	187	Mk_3:13-19a	12
13	3	II Cor_9:12-10:7	189	Mk_3:19b-27	13
13	4	II Cor_10:7b-18	190	Mk_3:28-35	14
13	5	II Cor_11:5-21a	192	Mk_4:1-9	15
13	6	I Cor_2:6-9	126	Mt_22:15-22	90
13	0	I Cor_16:13-24	166	Mt_21:33-42	87
14	1	II Cor_12:10-19	195	Mk_4:10-23	16
14	2	II Cor_12:20-13:2	196	Mk_4:24-34	17
14	3	II Cor_13:3-14	197	Mk_4:35-41	18
14	4	Gal_1:1-10, 20-2:5	198	Mk_5:1-20	19
14	5	Gal_2:6-10	201	Mk_5:22-24, 35-6:1	20
14	6	I Cor_4:1-5	130	Mt_23:1-12	93
14	0	II Cor_1:21-2:4	170	Mt_22:2-14	89
15	1	Gal_2:11-16	202	Mk_5:24b-34	21
15	2	Gal_2:21-3:7	204	Mk_6:1-7	22
15	3	Gal_3:15-22	207	Mk_6:7-13	23
15	4	Gal_3:23-4:5	208	Mk_6:30-45	25
15	5	Gal_4:8-21	210	Mk_6:45-53	26
15	6	I Cor_4:17-5:5	132	Mt_24:1-13	97
15	0	II Cor_4:6-15	176	Mt_22:35-46	92
16	1	Gal_4:28-5:10	211	Mk_6:54-7:8a	27
16	2	Gal_5:11-21	212	Mk_7:5-16	28
16	3	Gal_6:2-10	214	Mk_7:14-24a	29
16	4	Eph_1:1-9a	216	Mk_7:24-30	30
16	5	Eph_1:7-17	217	Mk_8:1-10	32
16	6	I Cor_10:23-28	146	Mt_24:34-44	101
16	0	II Cor_6:1-10	181	Mt_25:14-30	105
17	1	Eph_1:22-2:3	219	Mk_10:46-52	48
17	2	Eph_2:19-3:7	222	Mk_11:11-23	50
17	3	Eph_3:8-21	223	Mk_11:22b-26	51
17	4	Eph_4:14-19	225	Mk_11:27-33	52
17	5	Eph_4:17-25a	226	Mk_12:1-12	53
17	6	I Cor_14:20-25	156	Mt_25:1-13	104
17	0	II Cor_6:16-7:1	182 (mid.)	Mt_15:21-28	62
18	1	Eph_4:25-32	227	Lk_3:19-22	10
18	2	Eph_5:20-26	230	Lk_3:23-4:1	11
18	3	Eph_5:25-33a	231	Lk_4:1-15	12
18	4	Eph_5:33-6:9	232	Lk_4:16-22a	13
18	5	Eph_6:18-24	234	Lk_4:22b-30	14
18	6	I Cor_15:39-45	162	Lk_4:31-36	15
18	0	II Cor_9:6-11	188	Lk_5:1b-11	17
19	1	Philip_1:1-7	235	Lk_4:37-44	16
19	2	Philip_1:8-14	236	Lk_5:12-16	18
19	3	Philip_1:12-20a	237	Lk_5:33-39	21
19	4	Philip_1:20b-27a	238	Lk_6:12-19	23
19	5	Philip_1:27-2:4	239	Lk_6:17-23a	24
19	6	I Cor_15:58-16:3	164	Lk_5:17-26	19
19	0	II Cor_11:31-12:9	194	Lk_6:31-36	26
20	1	Philip_2:12-16a	241	Lk_6:24-30	25
20	2	Philip_2:16b-23	242	Lk_6:37-45	27
20	3	Philip_2:24-30	243	Lk_6:46-7:1	28
20	4	Philip_3:1-8	244	Lk_7:17-30	31
20	5	Philip_3:8b-19	245	Lk_7:31-35	32
20	6	II Cor_1:8-11	168	Lk_5:27-32	20
20	0	Gal_1:11-19	200	Lk_7:11-16	30
21	1	Philip_4:10-23	248	Lk_7:36-50	33
21	2	Col_1:1-2a, 7-11	249	Lk_8:1-3	34
21	3	Col_1:18-23	251	Lk_8:22-25	37
21	4	Col_1:24-29	252	Lk_9:7-11	41
21	5	Col_2:1-7	253	Lk_9:12b-18a	42
21	6	II Cor_3:12-18	174	Lk_6:1-10	22
21	0	Gal_2:16-20	203	Lk_8:5-15	35
22	1	Col_2:13-20	255	Lk_9:18-22	43
22	2	Col_2:20-3:3	256	Lk_9:23-27	44
22	3	Col_3:17-4:1	259	Lk_9:44-50	47
22	4	Col_4:2-9	260	Lk_9:49-56	48
22	5	Col_4:10-18	261	Lk_10:1-15	50
22	6	II Cor_5:1-10a	178	Lk_7:1b-10	29
22	0	Gal_6:11-18	215	Lk_16:19-31	83
23	1	I Thess_1:1-5	262	Lk_10:22-24	52
23	2	I Thess_1:6-10	263	Lk_11:1-10	55
23	3	I Thess_2:1-8	264	Lk_11:9-13	56
23	4	I Thess_2:9-14a	265	Lk_11:14-23	57
